ko_word,title,en_word,ko_meaning,en_meaning,en_pronun,lyric
쩔어,쩔어(Dope),Dope,내가 최고라는 의미입니다.,I'm the best,Jjeoreo,난 좀 쩔어 
쩔어 ,쩔어(Dope),Exhausted,한 일에 몰두를 해서 피곤하다는 의미 입니다.,I am tired from being absorbed in a task.,Jjeoreo,작업실에 쩔어 살어
찌질이,쩔어(Dope),A loser/ A nobody,보통 어리석거나 비겁하고 우유부단한 사람이라는 의미입니다.,A person who is foolish/ cowardly/ or indecisive; someone who is seen as lacking in appeal or attractiveness,Jjijiri,찌질이/ 비실이/ 찡찡이들 
비실이,쩔어(Dope),Weakling,힘이 없고 약해 보이는 사람을 가리키는 별명입니다.,A person who appears weak and lacking in strength.,Bisiri,찌질이/ 비실이/ 찡찡이들 
찡찡이,쩔어(Dope),Crybaby,불평이 많고 잘 우는 사람을 가리키는 별명입니다.,A person who complains a lot and often cries.,Jjingjjingi,찌질이/ 비실이/ 찡찡이들
띨띨이들,쩔어(Dope),Idiots,약간 멍청하고 느리게 행동하는 사람을 가리키는 별명입니다.,A person who is somewhat stupid and acts slowly,Ddilddiri,띨띨이들 앞으로 가
3포세대,쩔어(Dope),Three-give-up generation ,3포세대는 연애/ 결혼/ 출산을 포기한 세대를 의미합니다.,(refers to the generation that has given up on courtship/ marriage/ and having children due to economic pressures),Sam-po sedae,난 다 포기하지 너는 절대 안 돼 넌 3포세대/ 5포세대/ 6포세대
5포세대,쩔어(Dope),Five-give-up generation,5포세대는 연애/ 결혼/ 출산/ 인간관계/ 집 마련을 포기한 세대를 의미합니다.,(refers to the generation that has also given up on employment and home ownership in addition to the three mentioned above),O-po sedae,난 다 포기하지 너는 절대 안 돼 넌 3포세대/ 5포세대/ 6포세대
6포세대,쩔어(Dope),Six-give-up generation,육포세대는 연애/ 결혼/ 출산/ 인간관계/ 집 마련/ 꿈을 포기한 세대를 의미하며/ 육포 (beef jerky)와 발음이 같아서 재미있는 표현으로 사용됩니다.,(a play on words involving 육포 meaning beef jerky and 6포 referring to six aspects of life given up/ including the previous five plus interpersonal relationships,Yuk-po sedae,난 다 포기하지 너는 절대 안 돼 넌 3포세대/ 5포세대/ 6포세대
방탄스타일,쩔어(Dope),Bangtan Style,방탄스타일은 방탄소년단(BTS)의 독특한 스타일과 태도를 의미합니다. 방탄은 총알을 막아내다는 뜻으로/ 그들의 음악과 메시지가 어려움과 비판에 굴하지 않고 나아가는 것을 상징합니다.,Bangtan Style refers to BTS's unique style and attitude. Bangtan means to deflect bullets/ symbolizing how their music and messages represent moving forward despite difficulties and criticism.,Bangtan Style,방탄 스타일로 살아가네
설국열차,봄날 (Spring Day),Snowpiercer,기차의 이름/ 지구를 끝에서 끝까지 연결하는 상징적인 기차를 의미합니다.,Title of a film; a symbolic train traveling from end to end of the Earth,Seolgugyeolcha,홀로 남은 설국열차 니 손 잡고 지구 반대편까지 가
허공을 떠도는 작은 먼지,봄날 (Spring Day),Dust drifting in the air	,공중에 떠다니는 작은 먼지를 의미합니다.,Tiny particles floating in the air; symbolically representing something insubstantial and drifting,Heogongeul tteodonun jageun meonji,허공을 떠도는 작은 먼지처럼 작은 먼지처럼
추운 겨울 끝,봄날 (Spring Day),End of this cold winter	,겨울이 끝나는 시점/ 특히 차가운 겨울이 지나가는 시점이라는 의미입니다.,"The conclusion of a cold winter; metaphorically representing the end of a difficult period
",Chuun gyeoul kkeut,추운 겨울 끝을 지나 다시 봄날이 올 때까지
뱁새,뱁새 (beap sae),Korean-crow-tit,작은 새를 의미하며/ 여기서는 사회에서 약자나 불리한 위치에 있는 사람들을 상징합니다. 주어진 여건이나 환경이 좋지 않아서 힘겹게 살아가는 사람들을 비유적으로 표현한 것입니다.,Symbolizes those in society who are weak or in a disadvantaged position/ struggling due to poor conditions.,Baep sae,They call me 뱁새
탱탱,뱁새 (beap sae),Tautly,탱탱하다'는 단어에서 비롯된 것으로/ 여기서는 뱁새가 황새를 따라가려고 하다가 다리가 버텨내지 못하고 부러질 것 같은 상황을 묘사하는 표현입니다.,Describes a situation where a sparrow tries to follow a stork but struggles and risks breaking its legs.,Teng Teng,황새 덕에 내 가랑인 탱탱
